hop_name,alpha_acid_min,alpha_acid_max,alpha_acid_avg,beta_acid_min,beta_acid_max,beta_acid_avg,alpha_beta_ratio_min_first,alpha_beta_ratio_min_second,alpha_beta_ratio_max_first,alpha_beta_ratio_max_second,alpha_beta_ratio_avg_first,alpha_beta_ratio_avg_second,hsi_min,hsi_max,hsi_avg,cohumulone_min,cohumulone_max,cohumulone_avg,total_oils_min,total_oils_max,total_oils_avg,myrcene_min,myrcene_max,myrcene_avg,humulene_min,humulene_max,humulene_avg,caryophyllene_min,caryophyllene_max,caryophyllene_avg,farnesene_min,farnesene_max,farnesene_avg,other_oils_min,other_oils_max,other_oils_avg
Astra Hop,7.0,10.0,8.5,4.0,6.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,26.0,28.0,27.0,1.0,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Eclipse Hop,15.7,19.0,17.4,5.9,9.0,7.5,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,33.0,37.0,35.0,1.8,2.7,2.3,35.0,49.0,42.0,0.0,2.0,1.0,6.0,12.0,9.0,0.0,1.0,0.5,36.0,59.0,nan
Ella Hop,13.3,19.2,16.3,4.0,7.8,5.9,2.0,1.0,5.0,1.0,3.0,1.0,nan,nan,nan,33.0,40.0,36.5,2.4,3.4,2.9,34.0,50.0,42.0,15.0,22.0,18.5,5.0,18.0,11.5,12.0,14.0,13.0,0.0,34.0,nan
Enigma Hop,13.5,19.4,16.5,4.5,7.1,5.8,2.0,1.0,4.0,1.0,3.0,1.0,30.0,0.295,nan,37.0,43.0,40.0,1.8,3.0,2.4,23.0,30.0,26.5,12.0,19.0,15.5,6.0,8.0,7.0,9.0,12.0,10.5,31.0,50.0,nan
Feux-Coeur Francais Hop,12.0,16.0,14.0,3.1,6.0,4.6,2.0,1.0,5.0,1.0,4.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Galaxy Hop,11.0,16.0,13.5,5.0,9.0,7.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,32.0,42.0,37.0,1.8,5.0,3.4,33.0,69.0,51.0,1.0,2.0,1.5,7.0,13.0,10.0,3.0,5.0,4.0,11.0,56.0,nan
Helga Hop,5.4,7.3,6.4,5.0,7.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,20.0,23.0,21.5,0.6,1.0,0.8,1.0,13.0,7.0,35.0,55.0,45.0,10.0,45.0,27.5,0.0,1.0,0.5,0.0,54.0,nan
HPA-016 Hop,15.7,18.7,17.2,5.9,9.0,7.5,2.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,33.0,37.0,35.0,1.7,1.9,1.8,35.0,49.0,42.0,0.0,2.0,1.0,6.0,12.0,9.0,0.0,1.0,0.5,36.0,59.0,nan
Melba Hop,7.0,10.0,8.5,2.5,5.0,3.8,1.0,1.0,4.0,1.0,3.0,1.0,nan,nan,nan,25.0,35.0,30.0,2.0,4.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Pride of Ringwood Hop,7.0,11.0,9.0,4.0,8.0,6.0,1.0,1.0,3.0,1.0,2.0,1.0,nan,nan,nan,26.0,39.0,32.5,nan,nan,1.2,24.0,41.0,32.5,2.0,4.0,3.0,9.0,14.0,11.5,0.0,1.0,0.5,40.0,65.0,nan
