Name,Purpose,Country,International Code,Ownership,Flavor Tags,Aroma Profile,Alpha Acid Low,Alpha Acid High,Alpha Acid Avg,Beta Acid Low,Beta Acid High,Beta Acid Avg,Alpha-Beta Ratio Low,Alpha-Beta Ratio High,Alpha-Beta Ratio Avg,Co-Humulone Low,Co-Humulone High,Co-Humulone Avg,Total Oils Low,Total Oils High,Total Oils Avg,Myrcene,Humulene Low,Humulene High,Humulene Avg,Caryophyllene Low,Caryophyllene High,Caryophyllene Avg,Farnesene,All Others Low,All Others High,Cultivar/Brand ID,Myrcene Low,Myrcene High,Myrcene Avg,Farnesene Low,Farnesene High,Farnesene Avg,Hop Storage Index Low,Hop Storage Index High,Co-Humulone,Total Oils,Beta Acid,Caryophyllene,Hop Storage Index Avg,Humulene
Astra Hop,Dual,Australia (AUS),AST,™ Ellerslie Hop Estate,"['tropical_fruit', 'sweet', 'peach', 'white_wine', 'melon', 'grassy', 'grapefruit', 'honey']","{'Citrus': 3.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 3.0, 'Berry': 2.0, 'Floral': 0.0, 'Grassy': 1.0, 'Herbal': 0.0, 'Spice': 2.0, 'Resin / Pine': 1.0}",7.0,10.0,8.5,4.0,6.0,5.0,1.0,3.0,2.0,26.0,28.0,27.0,1.0,3.0,2.0,Unknown,6.0,8.0,7.0,2.0,3.0,2.5,Unknown,89.0,92.0,,,,,,,,,,,,,,,
Eclipse Hop,Dual,Australia (AUS),,® HPA,"['citrus', 'pine', 'mandarin']","{'Citrus': 3.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 2.0, 'Berry': 2.0, 'Floral': 2.0, 'Grassy': 1.0, 'Herbal': 1.0, 'Spice': 0.0, 'Resin / Pine': 2.0}",15.7,19.0,17.4,5.9,9.0,7.5,2.0,3.0,2.0,33.0,37.0,35.0,1.8,2.7,2.3,,0.0,2.0,1.0,6.0,12.0,9.0,,36.0,59.0,HPA 016,35.0,49.0,42.0,0.0,1.0,0.5,,,,,,,,
Ella Hop,Dual,Australia (AUS),ELL,™ Hop Products Australia (HPA),"['floral', 'spicy', 'grapefruit', 'tropical_fruit', 'noble', 'anise']","{'Citrus': 3.0, 'Tropical Fruit': 4.0, 'Stone Fruit': 3.0, 'Berry': 3.0, 'Floral': 3.0, 'Grassy': 1.0, 'Herbal': 1.0, 'Spice': 2.0, 'Resin / Pine': 2.0}",13.3,19.2,16.3,4.0,7.8,5.9,2.0,5.0,3.0,33.0,40.0,36.5,2.4,3.4,2.9,,15.0,22.0,18.5,5.0,18.0,11.5,,0.0,34.0,01-220-060,34.0,50.0,42.0,12.0,14.0,13.0,,,,,,,,
Enigma Hop,Aroma,Australia (AUS),ENI,™ Hop Products Australia (HPA),"['tropical_fruit', 'berry', 'stone_fruit', 'raspberry', 'redcurrant', 'white_wine']","{'Citrus': 3.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 1.0, 'Berry': 0.0, 'Floral': 2.0, 'Grassy': 1.0, 'Herbal': 0.0, 'Spice': 1.0, 'Resin / Pine': 0.0}",13.5,19.4,16.5,4.5,7.1,5.8,2.0,4.0,3.0,37.0,43.0,40.0,1.8,3.0,2.4,,12.0,19.0,15.5,6.0,8.0,7.0,,31.0,50.0,02-016-008,23.0,30.0,26.5,9.0,12.0,10.5,30.0,0.295,,,,,,
Feux-Coeur Francais Hop,Bittering,Australia (AUS),,,,,12.0,16.0,14.0,3.1,6.0,4.6,2.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,
Galaxy Hop,Dual,Australia (AUS),GXY,™ HPA,"['passion_fruit', 'citrus', 'peach', 'pineapple', 'tropical_fruit', 'cannabis', 'dank']","{'Citrus': 4.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 1.0, 'Berry': 0.0, 'Floral': 2.0, 'Grassy': 1.0, 'Herbal': 0.0, 'Spice': 0.0, 'Resin / Pine': 1.0}",11.0,16.0,13.5,5.0,9.0,7.0,1.0,3.0,2.0,32.0,42.0,37.0,1.8,5.0,3.4,,1.0,2.0,1.5,7.0,13.0,10.0,,11.0,56.0,94-203-008,33.0,69.0,51.0,3.0,5.0,4.0,,,,,,,,
Helga Hop,Aroma,Australia (AUS),,™ Hop Products Australia (HPA),['noble'],,5.4,7.3,6.4,5.0,7.0,6.0,1.0,1.0,1.0,20.0,23.0,21.5,0.6,1.0,0.8,,35.0,55.0,45.0,10.0,45.0,27.5,,0.0,54.0,A-86-29,1.0,13.0,7.0,0.0,1.0,0.5,,,,,,,,
HPA-016 Hop,Aroma,Australia (AUS),,,"['mandarin', 'citrus', 'pine', 'fruity']",,15.7,18.7,17.2,5.9,9.0,7.5,2.0,3.0,2.0,33.0,37.0,35.0,1.7,1.9,1.8,,0.0,2.0,1.0,6.0,12.0,9.0,,36.0,59.0,HPA-016,35.0,49.0,42.0,0.0,1.0,0.5,,,,,,,,
Melba Hop,Aroma,Australia (AUS),MEL,™ Ellerslie Hop Estate,"['passion_fruit', 'grapefruit', 'citrus', 'spicy']","{'Citrus': 3.0, 'Tropical Fruit': 4.0, 'Stone Fruit': 4.0, 'Berry': 2.0, 'Floral': 0.0, 'Grassy': 0.0, 'Herbal': 0.0, 'Spice': 1.0, 'Resin / Pine': 0.0}",7.0,10.0,8.5,2.5,5.0,3.8,1.0,4.0,3.0,25.0,35.0,30.0,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Pride of Ringwood Hop,Bittering,Australia (AUS),POR,,"['cedar', 'oak', 'herbal']","{'Citrus': 3.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 3.0, 'Berry': 3.0, 'Floral': 0.0, 'Grassy': 0.0, 'Herbal': 3.0, 'Spice': 3.0, 'Resin / Pine': 2.0}",7.0,11.0,9.0,4.0,8.0,6.0,1.0,3.0,2.0,26.0,39.0,32.5,1.21,1.2,,,2.0,4.0,3.0,9.0,14.0,11.5,,40.0,65.0,,24.0,41.0,32.5,0.0,1.0,0.5,,,,,,,,
Summer Hop,Aroma,Australia (AUS),,™ Hop Products Australia (HPA),"['apricot', 'melon', 'grassy', 'citrus', 'stone_fruit', 'passion_fruit', 'peach']",,5.6,6.4,6.0,4.8,6.1,5.5,1.0,1.0,1.0,20.0,25.0,22.5,1.4,2.0,1.7,,28.0,50.0,39.0,8.0,11.0,9.5,,0.0,35.0,,29.0,38.0,33.5,0.0,1.0,0.5,,,,,,,,
